punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,m1Focus,m2Focus
identical,1,pun,-55.5725580109,-45.9323027025,11.517565072,1.8158224,0.140160849731,0.859839150269,0.405255366557,1.11987187881,5.70852418906,prophet;atheism;organization,non;organization
identical,2,pun,-48.1642020516,-44.5054206287,12.381782822,1.181660829,0.999581349844,0.000418650155987,0.00367502225538,0.725706285614,5.33972302393,pi;circumference,circumference;large
identical,3,pun,-80.7211367315,-70.5440892878,14.29803952,0.055563493,0.0417762581716,0.958223741828,0.173548680015,1.87369575487,6.65031796617,knead;bakers;bread;recipes,basis;trade
identical,4,pun,-66.9611258978,-54.8936247977,11.101453782,3.232276015,5.2679739593e-06,0.999994732026,6.92942029189e-05,2.8016260245,7.39035956273,oar;rower,choose;either;indecisive;not
identical,5,pun,-48.8691416779,-43.9778085583,12.905232365,1.4039662,0.986178440052,0.0138215599478,0.0729029616761,1.41710540471,5.96952214233,tiers;cake;wedding,emotional;wedding
identical,6,pun,-53.669367562,-45.6542754018,13.874043941,0.015508465,0.998844764168,0.00115523583219,0.00896794897139,1.14894315887,5.75845498573,poll;conduct;decided;flag,flag
identical,7,pun,-37.0015478584,-33.1612244761,11.766698952,4.363772738,0.459484204221,0.540515795779,0.689860518849,1.63036979941,6.07108530898,bored;meetings,chairman;executive;meetings
identical,8,pun,-31.7233363621,-36.884156223,10.360502071,-0.593560628,0.999999985235,1.4764878672e-08,2.80990620657e-07,0.858529863224,5.46982044295,greece,donuts
identical,9,pun,-65.4671181338,-63.0512938639,11.075129018,0.632681794,0.948246498682,0.0517535013178,0.20364630728,0.961814445485,5.58846506573,sine;trigonometry,prayed;trigonometry
identical,10,pun,-65.3733650373,-60.9916558549,13.418469023,1.185820168,0.99976893403,0.000231065969674,0.00216571011075,0.828687300299,5.45108125589,principal;just;school,disliked;just;school
identical,11,pun,-48.4234883894,-47.0460509556,13.498376887,-0.967145481,0.999999996874,3.125655968e-09,6.43373198869e-08,1.31375407796,6.03710466751,cd;music;stores,
identical,12,pun,-63.1943232485,-50.7792502833,10.482227369,-0.990477457,0.012684000449,0.987315999551,0.0679994959356,1.35817350413,6.00859899015,hare;magician,pulled
identical,13,pun,-83.6915822363,-76.6260536817,9.095780725,-1.864429307,0.592279261458,0.407720738542,0.676018230388,1.01223074818,5.62793860264,knotty;sapling,admonished;young
identical,14,pun,-55.0026610144,-44.9614271094,11.816605134,1.974704526,0.0183736496358,0.981626350364,0.0916403067606,1.50521271725,6.02410060709,taut;rope,learn;tricks
identical,15,pun,-64.3722324599,-62.5100921939,11.707015052,-0.725651508,0.999835954626,0.000164045374171,0.00159374764001,1.19381287915,5.85467816076,marx;class;communism,class
identical,16,pun,-62.6540933699,-55.5556391878,10.409861159,-0.237327616,0.871809504725,0.128190495275,0.382932379615,0.853319959807,5.46241291823,hi;people,waves
identical,17,pun,-68.4160268927,-65.6569639341,8.345791123,1.908966062,0.0862430788223,0.913756921178,0.293758406392,1.46830478976,6.0098578757,daze,school;time;tough
identical,18,pun,-39.7539895766,-34.8302237153,11.632094459,0.92885634,0.991712102247,0.00828789775274,0.0479770113991,1.32226773746,5.86571786713,prose;authors,authors;cons
identical,19,pun,-60.1693439375,-47.4677716662,12.487317621,-1.142290669,0.654642621062,0.345357378938,0.64452520557,1.26875963887,6.00280915614,plane;flying;food,fancy;food
identical,20,pun,-81.9501094351,-77.8135305035,9.314419694,-3.854750176,0.999857145735,0.000142854265253,0.00140763080819,0.969770101199,5.63952178007,dam;beaver,beaver
identical,21,pun,-30.0531808142,-24.50852725,12.815201833,-0.971846936,0.9995560144,0.000443985600082,0.00387133084274,0.989608312549,5.6267568898,hertz;computer,
identical,22,pun,-33.0534133602,-32.6045298702,14.851312495,-0.226089049,0.999999816019,1.83981463375e-07,3.03724524456e-06,1.13096370255,5.82737654529,role;actors;movie,movie
identical,23,pun,-71.0875524609,-55.5373094809,15.121649858,0.343601449,0.418932605222,0.581067394778,0.679945134481,1.81180633833,6.57365781848,collar;id;man;neck;shirt,id;man;name
identical,24,pun,-40.706722306,-31.6512488425,13.629459359,-0.444668888,0.950325143731,0.0496748562691,0.197556762352,1.17852777829,5.95164776123,steal;thieves,
identical,25,pun,-63.0313496027,-50.9796116473,13.133044094,-2.404699588,0.761329455156,0.238670544844,0.549542641243,1.42179750782,6.11230865362,dye;gray;hair;strands,gray
identical,26,pun,-45.0773474772,-37.0195912841,12.242363331,1.088060187,0.72958156263,0.27041843737,0.583674583362,1.53343138628,6.21807147978,waist;belt,cardboard;paper
identical,27,pun,-89.7357610528,-81.9946701848,13.204860942,-2.605151636,0.999970600475,2.93995245651e-05,0.000336169373871,1.58770327655,6.29514113315,feet;fourteen;shoes;size,able
identical,28,pun,-44.6863403892,-38.8443141881,11.828943333,-0.735337475,0.985880236777,0.0141197632233,0.0741723371451,1.01803027762,5.66216367865,aloud;say,wanted
identical,29,pun,-69.5634326469,-69.2380102465,12.131394265,-2.084145125,0.999990389743,9.61025703513e-06,0.000120634431148,1.05254855816,5.70807608123,pail;buckets;carry,
identical,30,pun,-44.3960017687,-27.9922513035,14.290132407,0.111068613,0.0264231886463,0.973576811354,0.122079987491,1.36411324278,6.06742413835,manor;castle;home,castle;speaking
identical,31,pun,-86.8922679288,-86.8922679288,11.494279382,1.545767594,0.999998744727,1.2552731064e-06,1.83121208613e-05,1.9725181108,6.61448331571,cache;computer;online,chips;poker;tournament
identical,32,pun,-54.5317449937,-56.9293206835,14.653084438,0.965152763,0.999999222056,7.77944367021e-07,1.17209847173e-05,2.41749111451,6.95563993709,reign;britain;long;queen,britain;wet
identical,33,pun,-75.63690926,-66.6540802979,13.49984134,-0.017922536,0.0934480386436,0.906551961356,0.310443562932,2.01835442636,6.8268134236,thyme;gardeners;herb,extra;work
identical,34,pun,-53.164024817,-37.9091227316,10.943112016,-0.393336676,0.000531952950403,0.99946804705,0.0045421810657,1.40154008456,6.10429260282,pore;skin,bad;excuse
identical,35,pun,-58.9098942458,-45.0271013383,11.257685639,-0.826138925,0.0501288136388,0.949871186361,0.198894352724,0.995931642725,5.60269257606,gilt;gold,complex;people
identical,36,pun,-18.335884552,-9.88692215943,12.509669411,0.408764856,0.926105307324,0.0738946926757,0.26359874834,0.694270415551,5.30807123655,heir;human,human
identical,37,pun,-50.8948512312,-47.1562431496,12.303440685,-2.58751717,0.999970091344,2.99086563509e-05,0.00034147752745,1.2865083442,5.96459085632,son;boy;only,
identical,38,pun,-104.079614603,-91.9076085119,7.322607382,-0.412759744,0.0419074034646,0.958092596535,0.173959311232,1.800668617,6.29668984824,c's,high;pirates;terrible
