punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,m1Focus,m2Focus
near,1,pun,-67.8711340027,-67.8711340027,13.997211058,-1.571658609,0.999996559214,3.4407859558e-06,4.67252158033e-05,1.16681450211,6.83867766477,lion;circus,lion;driver
near,2,pun,-50.8265126279,-50.8265126279,16.643796321,0.56056068,0.999998712709,1.28729087295e-06,1.87467783677e-05,1.64074918824,8.32585985727,tooth;dentist;patient,tooth;tell;whole
near,3,pun,-99.1398967862,-99.1398967862,11.965244351,-2.719519203,0.999999836873,1.6312682393e-07,2.71259318267e-06,1.32293714912,8.13965431265,cilia,ridiculous
near,4,pun,-99.2008505074,-99.2008505074,17.587943037,-1.585082138,0.999999933234,6.67663474812e-08,1.16988438919e-06,1.54958971272,6.37552285683,heir;man;money;inherited;late;father,heir;man;extension
near,5,pun,-64.9887751807,-64.9887751807,18.720599158,0.066725839,0.99999999033,9.66978003626e-09,1.88118417519e-07,2.17553077605,9.28110011835,clothing;men's;wear;store,opening;times
near,6,pun,-77.1170207506,-77.1170207506,12.620862496,-0.462347243,0.999718498153,0.000281501846781,0.00258284441084,1.39637002511,8.32557410973,ambiance,paramedic;job;driver
near,7,pun,-67.0031197877,-67.0031197877,15.595708886,1.233796879,0.999938796999,6.12030005981e-05,0.000654950675026,1.24032351493,4.05434041454,perches;pet;bird,perches;store;necessary
near,8,pun,-31.7278086598,-31.7278086598,15.928209202,-0.269636849,0.999911072053,8.89279470902e-05,0.000918415790947,0.529405954459,5.37075242136,reword,reword
near,9,pun,-107.01183937,-107.01183937,14.773158733,-3.487725668,0.999997418808,2.58119152088e-06,3.57940491422e-05,1.91884629911,10.4000775757,math;algebra;class,weapon;disruption
near,10,pun,-94.2512883643,-94.2512883643,16.102587659,0.562083968,0.999999994252,5.74824146723e-09,1.14817512566e-07,0.421229496993,2.66296863706,stealer;thief;stole,stealer;thief;stole
near,11,pun,-128.710843349,-128.710843349,10.165153756,-4.402831094,0.999997658033,2.34196685219e-06,3.27044389082e-05,2.10103419121,11.2069735158,wicker;basket,pranked;hit;humor
near,12,pun,-37.9437398995,-37.9437398995,15.081307459,0.632018949,0.999990516449,9.483550748e-06,0.000119169796247,0.810591375098,6.88665957086,spatial,spatial;lovable
near,13,pun,-70.87872114,-70.87872114,15.325217782,2.436828382,0.999246052515,0.000753947485189,0.00617468723584,1.09488018754,4.39617541137,whirled;turn,whirled;astronaut;turn;traveler
near,14,pun,-87.7712144346,-87.7712144346,13.341806423,-1.589901898,0.999993449588,6.55041207633e-06,8.47359951743e-05,1.87367330225,7.56816494651,caesars;brutus',caesars;cautioned;run
near,15,pun,-31.4760240424,-31.4760240424,17.041556299,-1.000664578,0.999999976188,2.38124621437e-08,4.41793961762e-07,1.31837323198,7.96822401477,launch;astronauts,launch
near,16,pun,-54.4459473198,-54.4459473198,17.088489566,-0.037561737,0.999999329658,6.70342200369e-07,1.01995764477e-05,1.51981034126,10.3248304907,bloom;flower;show,flower;ribbon
near,17,pun,-61.1649228446,-61.1649228446,16.571534175,-0.387214422,0.999995048691,4.95130926891e-06,6.54357905169e-05,1.30163733262,7.54309846977,flea;pet;dog,flea;buy;get
